# r Xi(r) Xi(r)-ShotNoise
# z = 0
0.000000000000000000e+00 5.263108520507812500e+02 -2.510697516695707454e+05
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
7.812500000000000000e+00 -9.406523704528808594e-01 -2.515970031739919796e+05
nan nan nan
nan nan nan
nan nan nan
1.104854393005371094e+01 -9.762754440307617188e-01 -2.515970387970655574e+05
nan nan nan
1.353164672851562500e+01 -9.850903749465942383e-01 -2.515970476119964733e+05
nan nan nan
1.562500000000000000e+01 -1.052048047383626228e+00 -2.515971145696689200e+05
nan nan nan
1.746928024291992188e+01 -9.803113937377929688e-01 -2.515970428330152645e+05
nan nan nan
1.913663864135742188e+01 -9.314546585083007812e-01 -2.515969939762800350e+05
nan nan nan
nan nan nan
2.209708786010742188e+01 -8.607003688812255859e-01 -2.515969232219904079e+05
2.343750000000000000e+01 -7.930482228597005578e-01 -2.515968555698443961e+05
2.470529365539550781e+01 -7.050332228342691687e-01 -2.515967675548443513e+05
2.591113090515136719e+01 -7.079374790191650391e-01 -2.515967704591005458e+05
nan nan nan
2.706329345703125000e+01 -6.371498107910156250e-01 -2.515966996714323177e+05
2.816836929321289062e+01 -6.007777849833170203e-01 -2.515966632994065003e+05
2.923169898986816406e+01 -5.558576186498006555e-01 -2.515966183792401862e+05
nan nan nan
3.125000000000000000e+01 -5.104564030965169641e-01 -2.515965729780246329e+05
3.221176147460937500e+01 -3.841039339701334820e-01 -2.515964466255554871e+05
3.314562988281250000e+01 -3.318578402201334820e-01 -2.515963943794617371e+05
3.449622917175292969e+01 -2.308658758799234934e-01 -2.515962933874973969e+05
3.580137252807617188e+01 -1.690656940142313547e-01 -2.515962315873155312e+05
3.664387130737304688e+01 -1.791663964589436941e-01 -2.515962416880179953e+05
nan nan nan
3.827327728271484375e+01 -8.122411866982777451e-02 -2.515961437457402062e+05
3.960856359145220296e+01 -3.061229341170366991e-02 -2.515960931339149247e+05
4.059494018554687500e+01 2.294621244072914124e-02 -2.515960395754090860e+05
nan nan nan
4.235929107666015625e+01 5.688483317693074359e-02 -2.515960056367883517e+05
nan nan nan
4.474235076904297159e+01 1.821789423624674553e-01 -2.515958803426791565e+05
4.555430984497070312e+01 1.630936861038208008e-01 -2.515958994279354229e+05
4.647153648963341510e+01 1.600492673042492875e-01 -2.515959024723542097e+05
4.752158355712890625e+01 2.189302841822306223e-01 -2.515958435913373542e+05
4.815948486328125000e+01 2.019868691762288504e-01 -2.515958605347523408e+05
4.941058731079101562e+01 2.519467075665791644e-01 -2.515958105749139504e+05
5.022653325398763258e+01 1.892819404602050781e-01 -2.515958732396810665e+05
5.152612495422363281e+01 2.439231276512145996e-01 -2.515958185984938755e+05
5.263948822021484375e+01 1.941158771514892578e-01 -2.515958684057443752e+05
nan nan nan
5.461512411794355160e+01 2.403404635767782960e-01 -2.515958221811579424e+05
5.544260510531339037e+01 1.690994609485972910e-01 -2.515958934221605887e+05
5.674107837677001953e+01 1.880324085553487234e-01 -2.515958744892129616e+05
5.740991592407226562e+01 1.596460640430450439e-01 -2.515959028755574836e+05
5.872323989868164062e+01 1.696587204933166504e-01 -2.515958928629010334e+05
5.949822616577148438e+01 1.085794071356455531e-01 -2.515959539422144007e+05
6.000894927978515625e+01 1.513384448157416573e-01 -2.515959111831767077e+05
6.130220958164760248e+01 1.708589394887288504e-01 -2.515958916626820283e+05
6.295777803308823195e+01 1.380243394889083541e-01 -2.515959244972820452e+05
6.356485443115234091e+01 1.293774286905924609e-01 -2.515959331441928225e+05
6.473817443847656250e+01 1.109940078523423967e-01 -2.515959515276136808e+05
6.536406707763671875e+01 8.971367279688517715e-02 -2.515959728079487395e+05
6.655341448102679180e+01 7.595379579634893574e-02 -2.515959865678257192e+05
6.734966451471501614e+01 1.061350757425481572e-01 -2.515959563865457894e+05
6.861738695417132305e+01 6.960855211530413145e-02 -2.515959929130694072e+05
6.987712097167968750e+01 4.078923414150873589e-02 -2.515960217323873949e+05
7.045096191406250341e+01 6.981857935587565400e-02 -2.515959927030421677e+05
7.134625549316406534e+01 6.167312463124593330e-02 -2.515960008484968857e+05
7.232944270542689935e+01 6.790211654844738320e-02 -2.515959946195049852e+05
7.364366040910992695e+01 4.151230198996407744e-02 -2.515960210093195492e+05
7.423320116315569805e+01 4.500290041878109853e-02 -2.515960175187211134e+05
7.561033630371093750e+01 3.718308938874138880e-02 -2.515960253385321412e+05
7.681165059407551610e+01 3.922964135805765556e-02 -2.515960232919801783e+05
7.749723968505858807e+01 2.349328464931911900e-02 -2.515960390283368761e+05
7.854279085484947132e+01 1.532193606461935975e-02 -2.515960471996854758e+05
7.967218017578125000e+01 3.780526916186014580e-02 -2.515960247163523745e+05
8.039604263305663778e+01 2.796259025732676130e-03 -2.515960597253624874e+05
8.173326061617943594e+01 1.072710175668039646e-02 -2.515960517945197644e+05
nan nan nan
8.334102020263671307e+01 -5.596923331419627161e-03 -2.515960681185448484e+05
8.450468930331143724e+01 1.740548646811283101e-02 -2.515960451161350647e+05
8.580193801153274080e+01 1.084015837737492246e-03 -2.515960614376056765e+05
8.639272199358258320e+01 2.899108898072015692e-03 -2.515960596225126355e+05
8.752074813842773438e+01 3.368140301770634025e-03 -2.515960591534812120e+05
8.870643380972055070e+01 -1.563046834407708433e-02 -2.515960781520898745e+05
8.941786024305555713e+01 -9.369237555397881209e-03 -2.515960718908590788e+05
9.036109670003254735e+01 -7.386440480196917145e-03 -2.515960699080619961e+05
9.150934906005859659e+01 1.215792323152224208e-03 -2.515960613058292074e+05
9.247496880425347854e+01 -1.701783582016273833e-02 -2.515960795394573361e+05
9.334795673076922640e+01 2.421287542734390508e-02 -2.515960383087460941e+05
9.436096049464026692e+01 1.682640230932901104e-02 -2.515960456952192180e+05
9.546193284254808020e+01 -1.838294817851139976e-02 -2.515960809045697097e+05
9.665930175781250000e+01 1.151561163938962396e-03 -2.515960613700603717e+05
9.753291211809430195e+01 2.990688028789701899e-02 -2.515960326147412416e+05
9.832551422119141193e+01 -1.920195172230402657e-03 -2.515960644418167067e+05
9.927743699815538037e+01 -1.443075692212140125e-02 -2.515960769523784402e+05
1.003764513455904392e+02 5.357750715353550366e-03 -2.515960571638708061e+05
1.016690239800347229e+02 -8.320739975682011269e-04 -2.515960633536955283e+05
1.025054010244516292e+02 -1.454661748348138293e-02 -2.515960770682390139e+05
1.033161510891384580e+02 -8.610634892075150551e-03 -2.515960711322564166e+05
1.044995574951171875e+02 1.639737851089901471e-02 -2.515960461242430029e+05
1.053737165010892483e+02 -7.479092249503502612e-03 -2.515960700007137784e+05
1.064406461715698242e+02 1.034073779980341536e-02 -2.515960521808837366e+05
1.074608734130859347e+02 -1.679561734199523995e-02 -2.515960793172388803e+05
1.087547999201594138e+02 -1.497077619707262199e-02 -2.515960774923977151e+05
1.095632408728966283e+02 -1.786375168042305187e-02 -2.515960803853732068e+05
1.106596699764854037e+02 -5.085772589633339238e-03 -2.515960676073941286e+05
1.114580735426682736e+02 1.473212853456154839e-02 -2.515960477894929936e+05
1.125437229701450832e+02 1.496268832494342116e-02 -2.515960475589332054e+05
1.134560028076171818e+02 4.827697575092315500e-03 -2.515960576939239400e+05
1.143835580999200943e+02 -1.495077302961638453e-03 -2.515960640166988305e+05
1.153499937791090701e+02 -2.096225359500982974e-02 -2.515960834838751180e+05
1.163377885818481445e+02 3.488178675373395429e-03 -2.515960590334428416e+05
1.174887314948482810e+02 -8.687466239007774968e-04 -2.515960633903681592e+05
1.184339776039123535e+02 -1.215398063262303728e-02 -2.515960746756021690e+05
1.194480581844554195e+02 -1.496979711102504416e-03 -2.515960640186012315e+05
1.202912844144380955e+02 -8.776892836277300994e-04 -2.515960633993108058e+05
1.215073777048211383e+02 -1.565380347402472311e-02 -2.515960781754250056e+05
1.223316144943237305e+02 -1.295112694303194591e-04 -2.515960626511327864e+05
1.234509685350501087e+02 6.452648536018703446e-03 -2.515960560689730046e+05
1.244616958618164091e+02 2.298470934232076102e-02 -2.515960395369121979e+05
1.255290271146797778e+02 -1.185259897522475056e-02 -2.515960743742205086e+05
1.264409170150756836e+02 6.805118949462970459e-04 -2.515960618411096220e+05
1.274178879681755490e+02 -4.536837631580876301e-03 -2.515960670584591571e+05
1.282930268787202408e+02 -4.231521061488560144e-03 -2.515960667531426006e+05
1.294313828317742718e+02 4.679770323268154196e-03 -2.515960578418512014e+05
1.305895677046342200e+02 3.032162785530090332e-04 -2.515960622184052481e+05
1.316118642171223883e+02 -1.800499359766642368e-02 -2.515960805266151146e+05
1.324302225315824444e+02 -4.526710679345097299e-03 -2.515960670483322174e+05
1.334924187660217285e+02 -1.682615652680397034e-02 -2.515960793477780535e+05
1.346097555160522461e+02 -2.092662205298741543e-02 -2.515960834482435894e+05
1.354048697049500447e+02 9.486615413525064993e-04 -2.515960615729599958e+05
1.365917608087713120e+02 -3.007285748467300891e-03 -2.515960655289072893e+05
1.374142608642578125e+02 -1.231973146786913276e-05 -2.515960625339412654e+05
1.384569469949473444e+02 1.162920481916786958e-02 -2.515960508924167079e+05
1.395848964344371552e+02 -4.950426744692253134e-03 -2.515960674720482784e+05
1.405683982155539695e+02 4.956025065797747646e-03 -2.515960575655964494e+05
1.414751118627087862e+02 4.440783683595986146e-04 -2.515960620775431453e+05
1.425267701990464104e+02 3.581861070558136576e-03 -2.515960589397604635e+05
1.436091273381159965e+02 1.029264926910400391e-02 -2.515960522289722576e+05
1.444219111124674555e+02 -1.719111369715796553e-03 -2.515960642407328996e+05
1.455403827485584145e+02 6.898913118574354769e-03 -2.515960556227084016e+05
1.466059033429181113e+02 -7.004997704500033184e-04 -2.515960632221213018e+05
1.474788558062384993e+02 -5.548096754971672609e-03 -2.515960680697182834e+05
1.485477327272664638e+02 -1.142396438248165919e-02 -2.515960739455859002e+05
1.493029751247829893e+02 1.634321830890796828e-02 -2.515960461784032232e+05
1.503684414950284065e+02 7.186652433992636070e-03 -2.515960553349691036e+05
1.514659199434168215e+02 -2.574676099945517275e-03 -2.515960650962976215e+05
1.524702453613281250e+02 -4.797931395325006308e-03 -2.515960673195529089e+05
1.535182606090198760e+02 -5.454949357292868638e-03 -2.515960679765708919e+05
1.543914388882911908e+02 -2.529680392162947811e-03 -2.515960650513019064e+05
1.555003299055428272e+02 1.163148194894023275e-02 -2.515960508901395660e+05
1.565437729779411882e+02 7.835816869548723612e-03 -2.515960546858046437e+05
1.574456113927504646e+02 1.039168180203905306e-02 -2.515960521299397224e+05
1.586214132869944820e+02 -3.761230438363318256e-03 -2.515960662828519708e+05
1.597007494839754997e+02 -5.961807839798204459e-03 -2.515960684834293788e+05
1.604108491785385979e+02 2.749218660242417483e-03 -2.515960597724028630e+05
1.613352457682291572e+02 -1.723770911876971838e-03 -2.515960642453924520e+05
1.625715512362393440e+02 -1.485364511609077454e-03 -2.515960640069860383e+05
1.634708397906759387e+02 -7.360461829365163786e-03 -2.515960698820833641e+05
1.645695865228309458e+02 -8.205478976231923849e-03 -2.515960707271005085e+05
1.657002897442511653e+02 6.611930499286771887e-03 -2.515960559096910292e+05
1.664105275472005303e+02 1.524293328088427261e-02 -2.515960472786882601e+05
1.674681164285410944e+02 -1.111127652119899044e-03 -2.515960636327491666e+05
1.685910061922940315e+02 -1.119238318818988227e-02 -2.515960737140047131e+05
1.694044651985168457e+02 -1.992280905445416913e-03 -2.515960645139024418e+05
1.703972364153180763e+02 3.687955439090728760e-03 -2.515960588336660876e+05
1.715096144369982767e+02 5.768322069710547437e-03 -2.515960567532994610e+05
1.724576578776041629e+02 3.943105538686116247e-03 -2.515960585785159783e+05
1.734314516129032313e+02 -6.555104768404396501e-03 -2.515960690767263004e+05
1.744859961307410003e+02 -6.148867534868644735e-03 -2.515960686704890686e+05
1.755425376172335632e+02 -6.896135379683296374e-03 -2.515960694177568948e+05
1.764857681516617163e+02 -5.338894627081654243e-03 -2.515960678605161665e+05
1.774657000373391611e+02 -6.116917904685525639e-03 -2.515960686385394365e+05
1.784686528986150620e+02 5.994893083668718058e-03 -2.515960565267284401e+05
1.794827665441176521e+02 6.232395670772377695e-03 -2.515960562892258458e+05
1.804200497795553702e+02 -9.345875906885838631e-05 -2.515960626150803000e+05
1.815094571500211202e+02 2.765754321673968754e-03 -2.515960597558672016e+05
1.825111422152132548e+02 -1.089872970237388237e-02 -2.515960734203512256e+05
1.834179832644578880e+02 8.363215903925701883e-03 -2.515960541584056336e+05
1.844201182047526117e+02 -2.717819975482092896e-03 -2.515960652394414938e+05
1.855184571639351248e+02 -4.150338794874108318e-03 -2.515960666719603178e+05
1.864416415306829720e+02 -2.541556153246151382e-03 -2.515960650631776662e+05
1.875211551489419435e+02 6.772137635591013970e-03 -2.515960557494839013e+05
1.885793748938519059e+02 -3.889334806497546414e-04 -2.515960629105550179e+05
1.894561873969681756e+02 6.977703046361240398e-03 -2.515960555439184827e+05
1.904836555149244361e+02 3.525359043176623346e-03 -2.515960589962624945e+05
1.915477841695149834e+02 -2.961545906685016886e-03 -2.515960654831674474e+05
1.925012075636121835e+02 -1.450804096681100434e-02 -2.515960770296624978e+05
1.934395286923362960e+02 -5.576664493197486597e-03 -2.515960680982860213e+05
1.945039594783339396e+02 6.046425002489903486e-03 -2.515960564751965285e+05
1.956515279857035239e+02 -1.870537167273197054e-03 -2.515960643921587034e+05
1.965318101092082657e+02 7.629179857610687149e-03 -2.515960548924416653e+05
1.975996692657470817e+02 4.895479977130889546e-03 -2.515960576261415554e+05
1.984493795727926511e+02 5.685615161108592379e-03 -2.515960568360063771e+05
1.993946222478693073e+02 -9.686029318607214042e-03 -2.515960722076508391e+05
2.005037641979399154e+02 -6.127412830080304455e-03 -2.515960686490343651e+05
2.014170727019614446e+02 6.251035852635160664e-03 -2.515960562705856864e+05
2.026249318276682345e+02 2.011918492855564213e-03 -2.515960605097030348e+05
2.034945858023260996e+02 -4.302005085343470377e-03 -2.515960668236266065e+05
2.044189695700621030e+02 -7.932023105458317278e-03 -2.515960704536446428e+05
2.053608460008052248e+02 -3.808382658930549794e-03 -2.515960663300041924e+05
2.065998224718817369e+02 2.121550255808337011e-03 -2.515960604000712628e+05
2.075654153534860313e+02 -4.026818757105355556e-03 -2.515960665484402853e+05
2.084660656047317104e+02 1.704912328120297693e-03 -2.515960608167091850e+05
2.095242097106161054e+02 -9.851043234394571760e-03 -2.515960723726647557e+05
2.105422444848970258e+02 -4.128321341472103966e-03 -2.515960666499428626e+05
2.114661456168965969e+02 6.051659161317433401e-03 -2.515960564699623792e+05
2.124202476034359108e+02 3.243183755144781084e-04 -2.515960621973031375e+05
2.135753941391453736e+02 -6.536762521724507995e-03 -2.515960690583840478e+05
2.146521814858041068e+02 3.288782951308459601e-03 -2.515960592328385683e+05
2.154481211817541748e+02 1.106590448423873559e-02 -2.515960514557170391e+05
2.165216897601730182e+02 6.111014108716344637e-03 -2.515960564106074162e+05
2.174906394264914695e+02 -5.273487983327923090e-04 -2.515960630489703326e+05
2.184117213893581209e+02 -1.523484088279105459e-03 -2.515960640451056242e+05
2.193989556495179443e+02 -9.069281055572185526e-04 -2.515960634285496199e+05
2.203851410461975604e+02 -1.504230785656261683e-03 -2.515960640258523053e+05
2.214335474814137967e+02 -5.988610447734914579e-04 -2.515960631204825768e+05
2.224289232674291554e+02 7.282618412190238139e-04 -2.515960617933596950e+05
2.236509609535092125e+02 -7.055211262624772224e-04 -2.515960632271426439e+05
2.245497840245564873e+02 -2.010120078921318054e-03 -2.515960645317416056e+05
2.255346449248644660e+02 -7.002545051834210312e-03 -2.515960695241665817e+05
2.264980791319219691e+02 8.212242719422967185e-03 -2.515960543093788147e+05
2.274641145070393975e+02 -4.487858326346786352e-03 -2.515960670094798552e+05
2.285286729079026316e+02 -9.568436023516532296e-04 -2.515960634784651338e+05
2.296607592773437432e+02 4.437287151813507232e-04 -2.515960620778927987e+05
2.305179999705111129e+02 6.656220203705048074e-04 -2.515960618559995200e+05
2.315208994547525947e+02 -3.580480229620840280e-04 -2.515960628796695382e+05
2.324233898515460908e+02 3.759692696964039675e-03 -2.515960587619288417e+05
2.334571411650059645e+02 1.246654970497734728e-03 -2.515960612749665452e+05
2.344443332248263800e+02 6.402154145417390113e-03 -2.515960561194673937e+05
2.353703507643479611e+02 1.394434158618633587e-03 -2.515960611271873640e+05
2.364569190392127496e+02 -6.536344381479116880e-03 -2.515960690579659131e+05
2.374635146291632282e+02 2.928328792951260216e-03 -2.515960595932927390e+05
2.384031639099121094e+02 -2.643973256150881305e-03 -2.515960651655947731e+05
2.394203731652462182e+02 9.725097604472227519e-04 -2.515960615491117642e+05
2.404792426476111871e+02 -8.236929392203306329e-04 -2.515960633453144692e+05
2.413864668412641947e+02 1.628829493667140194e-03 -2.515960608927920402e+05
2.425373248183936425e+02 -2.469721070507116447e-04 -2.515960627685936342e+05
2.434888810992538311e+02 6.530332446395607782e-03 -2.515960559912890894e+05
2.444679120381673272e+02 -2.433162099785275093e-03 -2.515960649547836219e+05
2.454801962716238961e+02 2.853466168282524015e-03 -2.515960596681553579e+05
2.464987053504356993e+02 1.733477490070538599e-03 -2.515960607881440374e+05
2.473976607549758171e+02 7.393931585644919133e-03 -2.515960551276899350e+05
2.484805011171283127e+02 -7.951423977360580486e-03 -2.515960704730455182e+05
2.494118170254472489e+02 2.809523384352237071e-03 -2.515960597120981547e+05
2.504006964172979792e+02 6.214510043194531848e-04 -2.515960619001705199e+05
2.513939076085244437e+02 7.098000536682785161e-03 -2.515960554236210010e+05
2.524095937650497774e+02 -6.273449419840285970e-04 -2.515960631489664665e+05
2.533792667877979738e+02 -5.903050430819519780e-03 -2.515960684246719466e+05
2.545175102957843762e+02 3.521837239717915324e-04 -2.515960621694377915e+05
2.554561501639229846e+02 2.136818425995962861e-03 -2.515960603848031024e+05
2.564561030690263124e+02 -4.244966235587267767e-03 -2.515960667665877554e+05
2.575386793301883017e+02 7.177943868519023191e-03 -2.515960553436776681e+05
2.585327795119512757e+02 -1.738587778712075930e-03 -2.515960642602092994e+05
2.595786192732858808e+02 -4.724277208929192340e-03 -2.515960672458987392e+05
2.604506892451533417e+02 -2.150656586443936303e-03 -2.515960646722781239e+05
2.615144723962854414e+02 -2.980900859391247704e-03 -2.515960655025223969e+05
2.624965137134898896e+02 2.200818874619224052e-03 -2.515960603208026441e+05
2.635255469912574426e+02 -6.528163523901076189e-03 -2.515960690497850592e+05
2.644906704271610920e+02 9.018305077481625831e-04 -2.515960616197910276e+05
2.655399697684612192e+02 -3.046062519841461532e-03 -2.515960655676840397e+05
2.664191862339711747e+02 3.788568551027322266e-03 -2.515960587330529816e+05
2.674076832616052002e+02 5.419685397037240365e-03 -2.515960571019361378e+05
2.684499176703558874e+02 8.026394844055175642e-03 -2.515960544952266791e+05
2.695208270566683382e+02 -2.003464081608657271e-03 -2.515960645250856178e+05
2.705131060352641725e+02 3.738491245396229415e-03 -2.515960587831302837e+05
2.714936152564154668e+02 1.913415681984689549e-03 -2.515960606082058512e+05
2.725843284243629228e+02 -9.316272205776639226e-03 -2.515960718378937454e+05
2.736262232978562565e+02 -1.084187295701768755e-03 -2.515960636058088276e+05
2.746037735122818049e+02 1.790682072038049175e-03 -2.515960607309394691e+05
2.754490616923631023e+02 -5.735296191591204677e-03 -2.515960682569177297e+05
2.764786747349886582e+02 4.195349448415461140e-03 -2.515960583262720902e+05
2.775759472969251078e+02 -1.882298307104425137e-03 -2.515960644039198232e+05
2.785865678333100846e+02 -7.490852522471594735e-03 -2.515960700124740542e+05
2.795507088276877425e+02 -1.376713982862026470e-03 -2.515960638983355020e+05
2.804542117648654767e+02 4.144173198276096190e-03 -2.515960583774483239e+05
2.815386444178249121e+02 -2.692803445010955293e-03 -2.515960652144249761e+05
2.824487499558782133e+02 2.824202838192982085e-03 -2.515960596974186774e+05
2.834192778942631890e+02 1.392511877359128413e-03 -2.515960611291096429e+05
2.844554395024080691e+02 3.982560350472882899e-05 -2.515960624817959324e+05
2.854407866272745196e+02 -4.000521913359436632e-03 -2.515960665221434319e+05
2.865562409431703372e+02 -1.543873740780738043e-03 -2.515960640654952731e+05
2.874655717778252892e+02 -6.115083275932296433e-04 -2.515960631331298500e+05
