# r Xi(r) Xi(r)-ShotNoise
# z = 1
0.000000000000000000e+00 6.960109252929687500e+02 -3.315161065116905374e+05
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
7.812500000000000000e+00 -1.099578539530436272e+00 -3.322132170155230560e+05
nan nan nan
nan nan nan
nan nan nan
1.104854393005371094e+01 -9.818769296010335657e-01 -3.322130993139130878e+05
nan nan nan
1.353164672851562500e+01 -1.016415715217590332e+00 -3.322131338526987238e+05
nan nan nan
1.562500000000000000e+01 -9.129605293273925781e-01 -3.322130303975128336e+05
nan nan nan
1.746928024291992188e+01 -1.007367849349975586e+00 -3.322131248048328562e+05
nan nan nan
1.913663864135742188e+01 -9.646704991658529016e-01 -3.322130821074826526e+05
nan nan nan
nan nan nan
2.209708786010742188e+01 -9.058372179667154578e-01 -3.322130232742014923e+05
2.343750000000000000e+01 -9.169371287027995310e-01 -3.322130343741122051e+05
2.470529365539550781e+01 -8.860770066579183313e-01 -3.322130035139901447e+05
2.591113090515136719e+01 -8.281850814819335938e-01 -3.322129456220649881e+05
nan nan nan
2.706329345703125000e+01 -7.677863240242004395e-01 -3.322128852233075304e+05
2.816836929321289062e+01 -7.506704330444335938e-01 -3.322128681074165506e+05
2.923169898986816406e+01 -6.448874473571777344e-01 -3.322127623244308634e+05
nan nan nan
3.125000000000000000e+01 -7.424275080362955359e-01 -3.322128598644915619e+05
3.221176147460937500e+01 -5.342684984207153320e-01 -3.322126517054819269e+05
3.314562988281250000e+01 -4.897994465298122768e-01 -3.322126072364300489e+05
3.449622917175292969e+01 -4.238169193267822266e-01 -3.322125412539028330e+05
3.580137252807617188e+01 -4.016296466191609515e-01 -3.322125190666301060e+05
3.664387130737304688e+01 -2.981990575790405273e-01 -3.322124156360410852e+05
nan nan nan
3.827327728271484375e+01 -1.985765496889750070e-01 -3.322123160135332146e+05
3.960856359145220296e+01 -1.942444969626034024e-01 -3.322123116814804962e+05
4.059494018554687500e+01 -1.206228733062744141e-01 -3.322122380598568125e+05
nan nan nan
4.235929107666015625e+01 -8.774767716725667688e-02 -3.322122051846606773e+05
nan nan nan
